STRS	00000010	00000010	00000000
STRS	00001111	00000011	00000000
STRS	00000101	00000001	00000000
STRS	00001110	00000000	00000000
FILL	00000000	00000000	00000000
POW_	00000010	00000101	00000000
STHR	00000110	00000000	00000000
FACT	00000101	00000000	00000000
STHR	00000111	00000000	00000000
DIV_	00000110	00000111	00000000
STHR	00001000	00000000	00000000
ADD_	00001001	00001000	00000000
STHR	00001001	00000000	00000000
ADD_	00000101	00000001	00000000
STHR	00000101	00000000	00000000
ADD_	00000101	00000001	00000000
STHR	00000101	00000000	00000000
POW_	00000010	00000101	00000000
STHR	00000110	00000000	00000000
FACT	00000101	00000000	00000000
STHR	00000111	00000000	00000000
DIV_	00000110	00000111	00000000
STHR	00001000	00000000	00000000
SUB_	00001001	00001000	00000000
STHR	00001001	00000000	00000000
ADD_	00001110	00000001	00000000
STHR	00001110	00000000	00000000
JPIE	00001110	00001111	00100010
ADD_	00000101	00000001	00000000
STHR	00000101	00000000	00000000
ADD_	00000101	00000001	00000000
STHR	00000101	00000000	00000000
JUMP	00000101	00000000	00000000
FILL	00000000	00000000	00000000
JPIE	00001101	00000001	00101100
STRS	00001110	00000000	00000000
STRS	00000101	00000000	00000000
STRS	00001101	00000001	00000000
PRNT	00001001	00000000	00000000
STRS	00001001	00000000	00000000
JUMP	00000101	00000000	00000000
FILL	00000000	00000000	00000000
FILL	00000000	00000000	00000000
FILL	00000000	00000000	00000000
PRNT	00001001	00000000	00000000
END_	00000000	00000000	00000000
